year,state,total_votes,dem,rep,other
1976,AK,123574,0.3565313091750690,0.5790457539611890,0.054906371890527100
1976,AL,1182850,0.55727268884473900,0.42614870862746800,0.01631821448197150
1976,AR,767535,0.6496172812966180,0.3490433661005690,0.001339352602812900
1976,AZ,742719,0.39799978188251500,0.5636613577948050,0.03830923942971700
1976,CA,7803770,0.47954821836112500,0.4974831395594690,0.02296864207940520
1976,CO,1081440,0.4260994599792870,0.5402777777777780,0.033622762242935300
1976,CT,1386355,0.46733700964038800,0.5188144450735920,0.013848545286019800
1976,DC,168830,0.8163122667772320,0.16509506604276500,0.016886809216371500
1976,DE,235642,0.5196908870235360,0.46587620203529100,0.014432910941173500
1976,FL,3150631,0.5192610623078360,0.46642434483759000,0.01427269648524380
1976,GA,1463152,0.6693829485931740,0.3306170514068260,NA
1976,HI,291301,0.5059199934088800,0.48061283689379700,0.013467169697323400
1976,IA,1279303,0.48458496540694400,0.49469437654722900,0.020720658045826500
1976,ID,340932,0.37118545633733400,0.5988026937923100,0.030011849870355400
1976,IL,4721282,0.48107590268914200,0.5007684353529400,0.017220110978331700
1976,IN,2220362,0.45700385792947300,0.5332274647107090,0.009768677359817900
1976,KS,957845,0.44936393675385900,0.5248782423043390,0.025757820941801600
1976,KY,1167142,0.5275424926872650,0.45568748275702500,0.016770024555709600
1976,LA,1277383,0.5177499622274600,0.45988243150253300,0.022367606270006700
1976,MA,2547558,0.5611157822510810,0.40441709276098900,0.034467124987929600
1976,MD,1432273,0.5303541992343640,0.46964580076563600,NA
1976,ME,482968,0.480940766261947,0.489307780225605,0.02975145351244800
1976,MI,3651590,0.46465074118397700,0.518607510700818,0.01674174811520460
1976,MN,1949931,0.5489630145887210,0.4202174333348210,0.030644161254936700
1976,MO,1953600,0.5110498566748570,0.47473536036036000,0.014214782964783000
1976,MS,768390,0.4962701232447070,0.4774216218326630,0.026308254922630400
1976,MT,328734,0.4540418697183740,0.5283998612860250,0.017558268995601300
1976,NC,1677906,0.5526918671248570,0.4421940204040040,0.005114112471139620
1976,ND,297308,0.4577004318753620,0.5169184818437450,0.02538108628089390
1976,NE,606749,0.38449671940126800,0.5920388826351590,0.023464397963573100
1976,NH,339627,0.43472692100451400,0.5474682519352110,0.017804827060274900
1976,NJ,3014472,0.4792391503387660,0.500813409446165,0.019947440215069200
1976,NM,416590,0.4828440433039680,0.5074989798122850,0.00965697688374661
1976,NV,201876,0.4580980403812240,0.5016594345043490,0.04024252511442670
1976,NY,6668262,0.508312060923821,0.4650073737354650,0.026680565340714000
1976,OH,4110456,0.4889868666639420,0.48671631565938200,0.024296817676676300
1976,OK,1092251,0.48747220190231,0.4996177618514430,0.012910036246247400
1976,OR,1029876,0.47618062757069800,0.4778439346096040,0.04004559772244430
1976,PA,4620787,0.5039567935072530,0.4773221531310580,0.018721053361689300
1976,RI,410584,0.5544200455935940,0.4414419461060340,0.004138008300372150
1976,SC,802583,0.5616951766982360,0.43129371043244100,0.006162602497187210
1976,SD,300678,0.48912125263571000,0.5038779026067750,0.007000844757514680
1976,TN,1476346,0.5594074830696870,0.4294176297426210,0.011019097149313200
