"","cycle","state","Margin_vote_DvR","Margin_share_DvR","total_vote","Biden_DEM_vote","Biden_DEM_share","Trump_REP_vote","Trump_REP_share","Jorgensen_LIB_vote","Jorgensen_LIB_share","Hawkins_GRN_vote","Hawkins_GRN_share","Other_vote","Other_share"
"13",2020,"Idaho",267098,0.307711626770997,868014,287021,0.33066402154804,554119,0.638375648319036,16404,0.0188983127000256,407,0.000468886446531968,10063,0.0115931309863666
"14",2020,"Illinois",-1025024,-0.169881917429709,6033744,3471915,0.575416358400356,2446891,0.405534440970648,66544,0.0110286415863848,30494,0.00505391014269084,17900,0.00296664889992018
"15",2020,"Indiana",487103,0.16059480705993,3033118,1242416,0.409616770597121,1729519,0.570211577657051,59232,0.0195284192702031,988,0.000325737409490828,963,0.000317495066133266
"16",2020,"Iowa",138611,0.0819760939776009,1690871,759061,0.448917155714422,897672,0.530893249692023,19637,0.0116135411867611,3075,0.00181858935424406,11426,0.00675746405255043
"17",2020,"Kansas",201083,0.146529592954326,1372303,570323,0.415595535388322,771406,0.562125128342647,30574,0.022279336269031,0,0,0,0
"18",2020,"Kentucky",554172,0.259350570581364,2136768,772474,0.36151514811154,1326646,0.620865718692904,26234,0.0122774208524276,716,0.000335085512325157,10698,0.00500662683080241
"19",2020,"Louisiana",399742,0.186094256124823,2148062,856034,0.398514568015262,1255776,0.584608824140085,21645,0.010076524793046,0,0,14607,0.00680008305160652
"20",2020,"Maine",-74335,-0.0907120656138608,819461,435072,0.530924595557324,360737,0.440212529943463,14152,0.0172698883778484,8230,0.0100431869240879,1270,0.00154979919727723
"21",2020,"Maine CD-1",-102331,-0.230937099424073,443112,266376,0.601148242430808,164045,0.370211143006734,7343,0.0165714311505895,4654,0.0105029879578978,694,0.00156619545397101
"22",2020,"Maine CD-2",27996,0.074388400128604,376349,168696,0.448243518648914,196692,0.522631918777518,6809,0.0180922494811996,3576,0.00950181879053751,576,0.00153049430183154
"23",2020,"Maryland",-1008609,-0.332103732923284,3037030,1985023,0.653606648600771,976414,0.321502915677488,33488,0.0110265621347171,15799,0.00520212180979444,26306,0.00866175177722973
"24",2020,"Massachusetts",-1215000,-0.334581519754629,3631402,2382202,0.656000630059685,1167202,0.321419110305056,47013,0.012946239496481,18658,0.00513796049019084,16327,0.00449605964858752
"25",2020,"Michigan",-154188,-0.0278352759968675,5539302,2804040,0.506208182908244,2649852,0.478372906911376,60381,0.010900470853548,13718,0.00247648530446616,11311,0.00204195402236599
"26",2020,"Minnesota",-233012,-0.0711015690057064,3277171,1717077,0.5239509930974,1484065,0.452849424091694,34976,0.0106726197686968,10033,0.00306148199163242,31020,0.00946548105057685
"27",2020,"Mississippi",217281,0.165371787982897,1313894,539508,0.410617599288832,756789,0.575989387271728,8026,0.00610855974682889,1498,0.00114012241474579,8073,0.00614433127786564
"28",2020,"Missouri",465722,0.153908740427011,3025962,1253014,0.414087817361884,1718736,0.567996557788895,41205,0.0136171571222639,8283,0.00273731130794108,4724,0.0015611564190165
"29",2020,"Montana",98816,0.163690998784112,603674,244786,0.405493693616091,343602,0.569184692400203,15252,0.0252652921941313,0,0,34,0.0000563217895751681
"30",2020,"Nebraska",182263,0.190575323902662,956383,374583,0.39166630941788,556846,0.582241633320542,20283,0.0212080306739037,0,0,4671,0.0048840265876746
"31",2020,"Nebraska CD-1",48029,0.149211211422678,321886,132261,0.410893918965099,180290,0.560105130387777,7495,0.0232846411462443,0,0,1840,0.00571630950087919
"32",2020,"Nebraska CD-2",-22091,-0.0650374191117157,339666,176468,0.519533895061619,154377,0.454496475949904,6909,0.0203405698539153,0,0,1912,0.0056290591345616
"33",2020,"Nebraska CD-3",156325,0.530219006820857,294831,65854,0.223361858149245,222179,0.753580864970101,5879,0.0199402369493032,0,0,919,0.0031170399313505
"34",2020,"Nevada",-33596,-0.0239053463272462,1405376,703486,0.50056781957284,669890,0.476662473245594,14783,0.0105188931645339,0,0,17217,0.0122508140170317
"35",2020,"New Hampshire",-59267,-0.0735156577547005,806182,424921,0.527078252801477,365654,0.453562595046776,13235,0.0164168884941614,217,0.000269169988910693,2155,0.00267309366867531
"36",2020,"New Jersey",-725061,-0.159376728954645,4549353,2608335,0.57334196752813,1883274,0.413965238573485,31677,0.00696296814074441,14202,0.00312176258909783,11865,0.00260806316854287
"37",2020,"New Mexico",-99720,-0.107926166034428,923965,501614,0.542892858495722,401894,0.434966692461295,12585,0.013620645803683,4426,0.00479022473795003,3446,0.00372957850135016
"38",2020,"New York",-1986187,-0.231091007543375,8594826,5230985,0.608620232684175,3244798,0.3775292251408,60234,0.00700816979889994,32753,0.00381078104431666,26056,0.00303159133180823
"39",2020,"North Carolina",74483,0.0134815642328669,5524804,2684292,0.485861941889703,2758775,0.49934350612257,48678,0.00881081030204873,12195,0.00220731812386467,20864,0.00377642356181323
"40",2020,"North Dakota",120693,0.333572863779956,361819,114902,0.317567623590801,235595,0.651140487370757,9393,0.0259604940591843,0,0,1929,0.00533139497925758
