"","cycle","state","state_abb","party","vote_share","total_votes"
"106",1976,"North Carolina","NC","dem",0.552691867124857,927365
"107",1976,"North Carolina","NC","rep",0.442194020404004,741960.000000001
"108",1976,"North Carolina","NC","other",0.00511411247113962,8580.99999999999
"109",1976,"North Dakota","ND","dem",0.457700431875362,136078
"110",1976,"North Dakota","ND","rep",0.516918481843745,153684
"111",1976,"North Dakota","ND","other",0.0253810862808939,7546
"112",1976,"Ohio","OH","dem",0.488986866663942,2009959
"113",1976,"Ohio","OH","rep",0.486716315659382,2000626
"114",1976,"Ohio","OH","other",0.0242968176766763,99871.0000000002
"115",1976,"Oklahoma","OK","dem",0.48747220190231,532442
"116",1976,"Oklahoma","OK","rep",0.499617761851443,545708
"117",1976,"Oklahoma","OK","other",0.0129100362462474,14101
"118",1976,"Oregon","OR","dem",0.476180627570698,490407
"119",1976,"Oregon","OR","rep",0.477843934609604,492120.000000001
"120",1976,"Oregon","OR","other",0.0400455977224443,41242
"121",1976,"Pennsylvania","PA","dem",0.503956793507253,2328677
"122",1976,"Pennsylvania","PA","rep",0.477322153131058,2205604
"123",1976,"Pennsylvania","PA","other",0.0187210533616893,86506.0000000002
"124",1976,"Rhode Island","RI","dem",0.554420045593594,227636
"125",1976,"Rhode Island","RI","rep",0.441441946106034,181249
"126",1976,"Rhode Island","RI","other",0.00413800830037215,1699
"127",1976,"South Carolina","SC","dem",0.561695176698236,450807
"128",1976,"South Carolina","SC","rep",0.431293710432441,346149
"129",1976,"South Carolina","SC","other",0.00616260249718721,4946
"130",1976,"South Dakota","SD","dem",0.48912125263571,147068
"131",1976,"South Dakota","SD","rep",0.503877902606775,151505
"132",1976,"South Dakota","SD","other",0.00700084475751468,2105
"133",1976,"Tennessee","TN","dem",0.559407483069687,825879
"134",1976,"Tennessee","TN","rep",0.429417629742621,633969
"135",1976,"Tennessee","TN","other",0.0110190971493132,16267.9999999999
"136",1976,"Texas","TX","dem",0.511389568072175,2082319
"137",1976,"Texas","TX","rep",0.479704235189411,1953300
"138",1976,"Texas","TX","other",0.00817385760498089,33283
"139",1976,"Utah","UT","dem",0.336481787375882,182110
"140",1976,"Utah","UT","rep",0.624347305521989,337908
"141",1976,"Utah","UT","other",0.0391709071021289,21200
"142",1976,"Vermont","VT","dem",0.423040532457505,77798.0000000001
"143",1976,"Vermont","VT","rep",0.545872258050483,100387
"144",1976,"Vermont","VT","other",0.0310872094920121,5717.00000000001
"145",1976,"Virginia","VA","dem",0.479582156321335,813896
"146",1976,"Virginia","VA","rep",0.492933214070641,836554
"147",1976,"Virginia","VA","other",0.0274846296080241,46644.0000000001
"148",1976,"Washington","WA","dem",0.461142604404661,717323
"149",1976,"Washington","WA","rep",0.49997749968821,777732
"150",1976,"Washington","WA","other",0.038879895907129,60479
"151",1976,"West Virginia","WV","dem",0.580695186453323,435864
"152",1976,"West Virginia","WV","rep",0.419304813546677,314726
"153",1976,"West Virginia","WV","other",0,0
"154",1976,"Wisconsin","WI","dem",0.495033635744117,1040232
"155",1976,"Wisconsin","WI","rep",0.47826097301907,1004987
"156",1976,"Wisconsin","WI","other",0.0267053912368132,56117.0000000001
"157",1976,"Wyoming","WY","dem",0.398092655251594,62239
"158",1976,"Wyoming","WY","rep",0.593035825076914,92717
"159",1976,"Wyoming","WY","other",0,0
"160",1980,"Alabama","AL","dem",0.474488590678046,636730
"161",1980,"Alabama","AL","rep",0.487501201628402,654192
"162",1980,"Alabama","AL","other",0.0380102076935516,51007
"163",1980,"Alaska","AK","dem",0.264079017955758,41842.0000000001
"164",1980,"Alaska","AK","rep",0.543481965350753,86112.0000000001
"165",1980,"Alaska","AK","other",0.187030199753858,29634
"166",1980,"Arizona","AZ","dem",0.282446835899284,246843
"167",1980,"Arizona","AZ","rep",0.606088483829074,529688
"168",1980,"Arizona","AZ","other",0.111464680271642,97414.0000000002
"169",1980,"Arkansas","AR","dem",0.475226306200468,398041
"170",1980,"Arkansas","AR","rep",0.481342722264805,403164
"171",1980,"Arkansas","AR","other",0.0434309715347273,36377
"172",1980,"California","CA","dem",0.359194369107641,3082943
"173",1980,"California","CA","rep",0.526975028830454,4522994
"174",1980,"California","CA","other",0.113830602061905,977001.000000003
"175",1980,"Colorado","CO","dem",0.31070032504538,368009
"176",1980,"Colorado","CO","rep",0.550689349487104,652264
"177",1980,"Colorado","CO","other",0.138610325467517,164177.000000001
"178",1980,"Connecticut","CT","dem",0.385222056695478,541732
"179",1980,"Connecticut","CT","rep",0.481559570072923,677210
"180",1980,"Connecticut","CT","other",0.13262389913851,186507
"181",1980,"Delaware","DE","dem",0.44874144983621,105754
"182",1980,"Delaware","DE","rep",0.472070879372677,111252
"183",1980,"Delaware","DE","other",0.0791876707911129,18662
"184",1980,"District of Columbia","DC","dem",0.748931789819943,130231
"185",1980,"District of Columbia","DC","rep",0.134068284940393,23313
"186",1980,"District of Columbia","DC","other",0.113031876656948,19655
"187",1980,"Florida","FL","dem",0.385002198307696,1419475
"188",1980,"Florida","FL","rep",0.555191627065033,2046951
